
Sony Corporation,Last: 83.4,Change:  0.11
Date: 7 ottobre 2023 alle ore 12:10 GMT-4,Bid: 83.3,Ask: 84.46,Size: 3*1,Volume: 379.595
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 19 2024,SONY240119C00070000,13.6,0,14.9,15.2,0,0.3174,0.8772,0.0141,56,70.00,SONY240119P00070000,1.1,0.15,0.8,0.95,277,0.3151,-0.1254,0.0144,781
Fri Jan 19 2024,SONY240119C00075000,10.1,0,9.9,11,0,0.2964,0.7958,0.0216,207,75.00,SONY240119P00075000,1.95,0.25,1.55,1.7,1,0.292,-0.2095,0.0223,2568
Fri Jan 19 2024,SONY240119C00080000,6.1,0,7.1,7.3,0,0.2731,0.6712,0.0301,217,80.00,SONY240119P00080000,3.1,0,2.8,3.1,0,0.2704,-0.341,0.0318,3162
Fri Jan 19 2024,SONY240119C00085000,4.11,-0.34,4.2,4.5,1,0.2602,0.507,0.0354,883,85.00,SONY240119P00085000,5.2,0,4.9,5.2,0,0.257,-0.5186,0.0387,3337
Fri Jan 19 2024,SONY240119C00090000,2.45,0,2.15,2.45,0,0.2485,0.3391,0.0332,4859,90.00,SONY240119P00090000,9.16,0,8,8.6,0,0.2564,-0.7086,0.0387,1327
Fri Jan 19 2024,SONY240119C00095000,1.09,-0.135,1.1,1.25,11,0.2464,0.2091,0.0257,2579,95.00,SONY240119P00095000,14.1,0,12.1,12.4,0,0.2454,-0.8651,0.0331,602
